Days_for_shipping_(real),Days_for_shipment_(scheduled),Delivery_Status,Late_delivery_risk,Customer_City,Customer_Country,Customer_Zipcode,Latitude,Longitude,Market,Order_City,Order_Country,Order_Region,Order_State,Order_Status,Product_Name,Product_Price,Shipping_Mode,order_date,order_time,shipping_date,shipping_time,processing_time,shipment_status,order_city_latitude,order_city_longitude,distance,multiplier,approx_time,transit_time,effective_delivery_time
6,2,Late delivery,1,Washington,USA,20011,38.96081924,-77.02661896,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Under Armour Kids' Mercenary Slide,27.98999977,Second Class,21-11-2022,3:03:00,27-11-2022,3:03:00,6,Delayed,12.9789,77.5917,13667.1897,0.8,10933.7518,3,9
1,0,Late delivery,1,Bayamon,Puerto Rico,957,18.38011932,-66.18312836,Pacific Asia,Gulbarga,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Same Day,19-11-2022,21:58:00,20-11-2022,9:58:00,1,On time,17.329,76.825,14346.84511,0,0,1,2
1,0,Late delivery,1,Bayamon,Puerto Rico,957,18.38011932,-66.18312836,Pacific Asia,Gulbarga,India,South Asia,Karnataka,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Same Day,19-11-2022,21:58:00,20-11-2022,9:58:00,1,On time,17.329,76.825,14346.84511,0,0,1,2
1,0,Late delivery,1,Bayamon,Puerto Rico,957,18.38011932,-66.18312836,Pacific Asia,Gulbarga,India,South Asia,Karnataka,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,Same Day,19-11-2022,21:58:00,20-11-2022,9:58:00,1,On time,17.329,76.825,14346.84511,0,0,1,2
3,2,Late delivery,1,Caguas,Puerto Rico,725,18.28639603,-66.37057495,Pacific Asia,Bijapur,India,South Asia,Karnataka,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class,28-11-2022,3:54:00,01-12-2022,3:54:00,3,On time,16.83,75.71,14317.86165,0.8,11454.2893,3,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.2693367,-66.0370636,Pacific Asia,Bellary,India,South Asia,Karnataka,COMPLETE,Industrial consumer electronics,252.8800049,Standard Class,26-12-2024,5:28:00,28-12-2024,5:28:00,2,On time,15.1,76.9167,14516.27316,1,14516.2732,4,6
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.28411675,-66.0370636,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,First aid kit,293.0400085,Standard Class,03-01-2025,18:05:00,09-01-2025,18:05:00,6,Delayed,13.0825,80.275,14934.60661,1,14934.6066,4,10
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.23285484,-66.3705368,Pacific Asia,Coimbatore,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,16-02-2023,1:21:00,22-02-2023,1:21:00,6,Delayed,11.0167,76.9556,14840.98243,1,14840.9824,4,10
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.25928116,-66.03705597,Pacific Asia,Belgaum,India,South Asia,Karnataka,COMPLETE,Porcelain crafts,461.480011,Standard Class,29-12-2024,22:49:00,31-12-2024,22:49:00,2,On time,15.85,74.5,14265.78494,1,14265.7849,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.21188355,-66.37051392,Pacific Asia,Nagercoil,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,25-02-2023,15:10:00,27-02-2023,15:10:00,2,On time,8.175,77.4306,15076.62244,1,15076.6224,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.21188355,-66.37051392,Pacific Asia,Nagercoil,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,25-02-2023,15:10:00,27-02-2023,15:10:00,2,On time,8.175,77.4306,15076.62244,1,15076.6224,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.29775429,-66.37055206,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,03-03-2023,20:35:00,05-03-2023,20:35:00,2,On time,13.0825,80.275,14960.12828,1,14960.1283,4,6
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.23285484,-66.3705368,Pacific Asia,Coimbatore,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,16-02-2023,1:21:00,22-02-2023,1:21:00,6,Delayed,11.0167,76.9556,14840.98243,1,14840.9824,4,10
5,4,Late delivery,1,Caguas,Puerto Rico,725,18.21885109,-66.03705597,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Lawn mower,532.5800171,Standard Class,01-01-2025,18:26:00,06-01-2025,18:26:00,5,Delayed,12.9789,77.5917,14728.82817,1,14728.8282,4,9
5,4,Late delivery,1,Caguas,Puerto Rico,725,18.29078484,-66.37057495,Pacific Asia,Coimbatore,India,South Asia,Tamil Nadu,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.980011,Standard Class,15-03-2023,19:10:00,20-03-2023,19:10:00,5,Delayed,11.0167,76.9556,14837.18651,1,14837.1865,4,9
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.29663658,-66.37054443,Pacific Asia,Salem,India,South Asia,Tamil Nadu,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Standard Class,03-11-2022,16:23:00,09-11-2022,16:23:00,6,Delayed,11.65,78.15,14892.81529,1,14892.8153,4,10
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.29663658,-66.37054443,Pacific Asia,Salem,India,South Asia,Tamil Nadu,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Standard Class,03-11-2022,16:23:00,09-11-2022,16:23:00,6,Delayed,11.65,78.15,14892.81529,1,14892.8153,4,10
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.21188355,-66.37051392,Pacific Asia,Nagercoil,India,South Asia,Tamil Nadu,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.980011,Standard Class,25-02-2023,15:10:00,27-02-2023,15:10:00,2,On time,8.175,77.4306,15076.62244,1,15076.6224,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.29942322,-66.3705368,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.980011,Standard Class,06-01-2023,9:59:00,08-01-2023,9:59:00,2,On time,13.0825,80.275,14960.00461,1,14960.0046,4,6
5,4,Late delivery,1,Caguas,Puerto Rico,725,18.23384476,-66.03705597,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,COMPLETE,Fighting video games,39.75,Standard Class,20-01-2025,5:37:00,25-01-2025,5:37:00,5,Delayed,8.5241,76.9366,14979.04159,1,14979.0416,4,9
4,4,Shipping on time,0,Caguas,Puerto Rico,725,18.26678658,-66.03705597,Pacific Asia,Kochi,India,South Asia,Kerala,COMPLETE,Fighting video games,39.75,Standard Class,25-01-2025,2:38:00,29-01-2025,2:38:00,4,Delayed,9.9312,76.2673,14824.56259,1,14824.5626,4,8
3,4,Advance shipping,0,Caguas,Puerto Rico,725,18.29023361,-66.37058258,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,ON_HOLD,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Standard Class,28-10-2022,5:11:00,31-10-2022,5:11:00,3,On time,9.9252,78.1198,15012.45256,1,15012.4526,4,7
3,4,Advance shipping,0,Caguas,Puerto Rico,725,18.29023361,-66.37058258,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,ON_HOLD,Diamondback Women's Serene Classic Comfort Bi,299.980011,Standard Class,28-10-2022,5:11:00,31-10-2022,5:11:00,3,On time,9.9252,78.1198,15012.45256,1,15012.4526,4,7
2,1,Late delivery,1,West Orange,USA,7052,40.79269791,-74.23181915,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Adult dog supplies,84.40000153,First Class,02-12-2024,0:36:00,04-12-2024,0:36:00,2,On time,12.9789,77.5917,13369.77275,0.5,6684.8864,2,4
2,1,Late delivery,1,Morrisville,USA,19067,35.81321335,-78.87046814,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,First Class,16-11-2022,11:38:00,18-11-2022,11:38:00,2,On time,15.3502,75.1376,13702.59117,0.5,6851.2956,2,4
2,1,Late delivery,1,Morrisville,USA,19067,35.81321335,-78.87046814,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,First Class,16-11-2022,11:38:00,18-11-2022,11:38:00,2,On time,15.355,75.1362,13702.04422,0.5,6851.0221,2,4
2,1,Late delivery,1,Aurora,USA,80010,39.71852112,-104.8660431,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,First Class,02-01-2023,13:51:00,04-01-2023,13:51:00,2,On time,11.1085,77.3411,14358.77951,0.5,7179.3898,2,4
2,1,Late delivery,1,Chicago,USA,60643,41.52561569,-88.40119934,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,COMPLETE,Lawn mower,532.5800171,First Class,14-11-2024,22:21:00,16-11-2024,22:21:00,2,On time,9.9252,78.1198,14130.20245,0.5,7065.1012,2,4
2,1,Late delivery,1,Staten Island,USA,10306,40.56678009,-74.11734772,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Lawn mower,532.5800171,First Class,18-11-2024,11:50:00,20-11-2024,11:50:00,2,On time,12.9789,77.5917,13385.85811,0.5,6692.9291,2,4
2,1,Late delivery,1,Aurora,USA,80010,39.71852112,-104.8660431,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,First Class,02-01-2023,13:51:00,04-01-2023,13:51:00,2,On time,11.1085,77.3411,14358.77951,0.5,7179.3898,2,4
2,1,Late delivery,1,Tonawanda,USA,14150,43.01396942,-78.87906647,Pacific Asia,Bangalore,India,South Asia,Karnataka,ON_HOLD,Adult dog supplies,84.40000153,First Class,07-01-2025,22:16:00,09-01-2025,22:16:00,2,On time,12.9789,77.5917,13343.80096,0.5,6671.9005,2,4
2,1,Late delivery,1,Fort Lauderdale,USA,33313,26.15128136,-80.21017456,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,ON_HOLD,Fighting video games,39.75,First Class,20-01-2025,7:22:00,22-01-2025,7:22:00,2,On time,11.1085,77.3411,15213.17186,0.5,7606.5859,2,4
2,1,Late delivery,1,Aurora,USA,80010,39.71852112,-104.8660431,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,First Class,02-01-2023,13:51:00,04-01-2023,13:51:00,2,On time,11.1085,77.3411,14358.77951,0.5,7179.3898,2,4
2,1,Late delivery,1,Morrisville,USA,19067,35.81321335,-78.87046814,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,First Class,16-11-2022,11:38:00,18-11-2022,11:38:00,2,On time,15.3502,75.1376,13702.59117,0.5,6851.2956,2,4
2,1,Late delivery,1,Morrisville,USA,19067,35.81321335,-78.87046814,Pacific Asia,Hubli,India,South Asia,Karnataka,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,First Class,16-11-2022,11:38:00,18-11-2022,11:38:00,2,On time,15.355,75.1362,13702.04422,0.5,6851.0221,2,4
0,0,Shipping on time,0,College Station,USA,77840,30.62625504,-96.34488678,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Same Day,21-11-2022,2:41:00,21-11-2022,14:41:00,0,On time,12.9789,77.5917,15123.23428,0,0,1,1
1,0,Late delivery,1,Salem,USA,97303,45.04110718,-122.9940643,Pacific Asia,Bijapur,India,South Asia,Karnataka,COMPLETE,Sports Books ,31.07999992,Same Day,15-12-2024,20:23:00,16-12-2024,8:23:00,1,On time,16.83,75.71,12879.95843,0,0,1,2
1,0,Late delivery,1,Orlando,USA,32825,28.55625916,-81.27587128,Pacific Asia,Coimbatore,India,South Asia,Tamil Nadu,COMPLETE,Fighting video games,39.75,Same Day,25-01-2025,23:39:00,26-01-2025,11:39:00,1,On time,11.0167,76.9556,15031.40463,0,0,1,2
6,2,Late delivery,1,Sacramento,USA,95823,38.48671341,-121.459343,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,Second Class,22-12-2022,17:32:00,28-12-2022,17:32:00,6,Delayed,12.9789,77.5917,13958.9063,0.8,11167.125,3,9
5,2,Late delivery,1,San Jose,USA,95127,37.28772354,-121.7644043,Pacific Asia,Kochi,India,South Asia,Kerala,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,07-12-2022,23:20:00,12-12-2022,23:20:00,5,Delayed,9.9312,76.2673,14438.07035,0.8,11550.4563,3,8
5,2,Late delivery,1,San Jose,USA,95127,37.28772354,-121.7644043,Pacific Asia,Kochi,India,South Asia,Kerala,PENDING_PAYMENT,Nike Men's Deutschland Weltmeister Winners Bl,30,Second Class,07-12-2022,23:20:00,12-12-2022,23:20:00,5,Delayed,9.9312,76.2673,14438.07035,0.8,11550.4563,3,8
5,2,Late delivery,1,Hampton,USA,23666,38.8540535,-77.28582764,Pacific Asia,Bangalore,India,South Asia,Karnataka,PENDING_PAYMENT,ENO Atlas Hammock Straps,29.98999977,Second Class,15-12-2022,1:15:00,20-12-2022,1:15:00,5,Delayed,12.9789,77.5917,13688.61842,0.8,10950.8947,3,8
5,4,Late delivery,1,Fort Lauderdale,USA,33312,26.11425972,-80.16235352,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,First aid kit,293.0400085,Standard Class,21-11-2024,12:42:00,26-11-2024,12:42:00,5,Delayed,9.9252,78.1198,15370.5169,1,15370.5169,4,9
3,4,Advance shipping,0,Clementon,USA,8021,39.81664658,-74.98467255,Pacific Asia,Belgaum,India,South Asia,Karnataka,PENDING_PAYMENT,First aid kit,293.0400085,Standard Class,21-11-2024,12:00:00,24-11-2024,12:00:00,3,On time,15.85,74.5,13064.80374,1,13064.8037,4,7
4,4,Shipping on time,0,San Pedro,USA,90731,37.59721756,-122.0674133,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Summer dresses,215.8200073,Standard Class,30-01-2025,1:45:00,03-02-2025,1:45:00,4,Delayed,13.0825,80.275,13916.03755,1,13916.0375,4,8
2,4,Advance shipping,0,Aurora,USA,60504,41.72254562,-88.27864075,Pacific Asia,Salem,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Standard Class,16-03-2023,13:23:00,18-03-2023,13:23:00,2,On time,11.65,78.15,13919.78437,1,13919.7844,4,6
5,4,Late delivery,1,Washington,USA,20009,38.91826248,-77.03946686,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Summer dresses,215.8200073,Standard Class,30-01-2025,2:06:00,04-02-2025,2:06:00,5,Delayed,13.0825,80.275,13771.49019,1,13771.4902,4,9
5,4,Late delivery,1,Garden Grove,USA,92843,33.77445602,-117.8943863,Pacific Asia,Madurai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class,03-11-2022,19:32:00,08-11-2022,19:32:00,5,Delayed,9.9252,78.1198,14869.53259,1,14869.5326,4,9
2,4,Advance shipping,0,Aurora,USA,60504,41.72254562,-88.27864075,Pacific Asia,Salem,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Diamondback Women's Serene Classic Comfort Bi,299.980011,Standard Class,16-03-2023,13:23:00,18-03-2023,13:23:00,2,On time,11.65,78.15,13919.78437,1,13919.7844,4,6
6,4,Late delivery,1,Aurora,USA,80012,39.60585022,-104.7031708,Pacific Asia,Thiruvananthapuram,India,South Asia,Kerala,PENDING_PAYMENT,Fighting video games,39.75,Standard Class,20-01-2025,5:58:00,26-01-2025,5:58:00,6,Delayed,8.5241,76.9366,14660.61151,1,14660.6115,4,10
3,4,Advance shipping,0,Virginia Beach,USA,23455,36.91083145,-76.12958527,Pacific Asia,Mangalore,India,South Asia,Karnataka,PENDING_PAYMENT,Rock music,260.6499939,Standard Class,25-11-2024,0:05:00,28-11-2024,0:05:00,3,On time,12.8681,74.8425,13701.1824,1,13701.1824,4,7
4,4,Shipping on time,0,Lakewood,USA,8701,40.09635925,-74.21524048,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,DVDs ,164.3800049,Standard Class,12-11-2024,14:39:00,16-11-2024,14:39:00,4,Delayed,13.0825,80.275,13541.47402,1,13541.474,4,8
2,4,Advance shipping,0,Aurora,USA,60504,41.72254562,-88.27864075,Pacific Asia,Salem,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,16-03-2023,13:23:00,18-03-2023,13:23:00,2,On time,11.65,78.15,13919.78437,1,13919.7844,4,6
6,4,Late delivery,1,Riverside,USA,92509,34.01974869,-117.3625183,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,13-03-2023,21:59:00,19-03-2023,21:59:00,6,Delayed,13.0825,80.275,14454.95633,1,14454.9563,4,10
2,1,Late delivery,1,Piscataway,USA,8854,40.55156326,-74.44460297,Pacific Asia,Mangalore,India,South Asia,Karnataka,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50,First Class,03-11-2022,0:16:00,05-11-2022,0:16:00,2,On time,12.8681,74.8425,13285.06953,0.5,6642.5348,2,4
1,0,Late delivery,1,Rancho Cucamonga,USA,91730,34.10491943,-117.6226425,Pacific Asia,Bellary,India,South Asia,Karnataka,COMPLETE,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,Same Day,08-12-2022,12:18:00,09-12-2022,0:18:00,1,On time,15.1,76.9167,14331.31865,0,0,1,2
1,0,Late delivery,1,Rancho Cucamonga,USA,91730,34.10491943,-117.6226425,Pacific Asia,Bellary,India,South Asia,Karnataka,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Same Day,08-12-2022,12:18:00,09-12-2022,0:18:00,1,On time,15.1,76.9167,14331.31865,0,0,1,2
1,0,Late delivery,1,Rancho Cucamonga,USA,91730,34.10491943,-117.6226425,Pacific Asia,Bellary,India,South Asia,Karnataka,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Same Day,08-12-2022,12:18:00,09-12-2022,0:18:00,1,On time,15.1,76.9167,14331.31865,0,0,1,2
5,2,Late delivery,1,Phoenix,USA,85033,33.4926796,-112.2088623,Pacific Asia,Tumkur,India,South Asia,Karnataka,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,07-03-2023,18:29:00,12-03-2023,18:29:00,5,Delayed,13.34,77.1,14714.81455,0.8,11771.8516,3,8
4,2,Late delivery,1,Spring Valley,USA,10977,41.1137085,-74.04868317,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class,10-01-2023,14:32:00,14-01-2023,14:32:00,4,Delayed,13.0825,80.275,13436.09483,0.8,10748.8759,3,7
4,2,Late delivery,1,Spring Valley,USA,10977,41.1137085,-74.04868317,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class,10-01-2023,14:32:00,14-01-2023,14:32:00,4,Delayed,13.0825,80.275,13436.09483,0.8,10748.8759,3,7
2,2,Shipping on time,0,Ontario,USA,91761,35.2167778,-120.6961899,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class,05-11-2022,2:01:00,07-11-2022,2:01:00,2,On time,13.0825,80.275,14207.65799,0.8,11366.1264,3,5
2,2,Shipping on time,0,Ontario,USA,91761,35.2167778,-120.6961899,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,ON_HOLD,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class,05-11-2022,2:01:00,07-11-2022,2:01:00,2,On time,13.0825,80.275,14207.65799,0.8,11366.1264,3,5
5,2,Late delivery,1,Phoenix,USA,85033,33.4926796,-112.2088623,Pacific Asia,Tumkur,India,South Asia,Karnataka,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class,07-03-2023,18:29:00,12-03-2023,18:29:00,5,Delayed,13.34,77.1,14714.81455,0.8,11771.8516,3,8
5,2,Late delivery,1,Phoenix,USA,85033,33.4926796,-112.2088623,Pacific Asia,Tumkur,India,South Asia,Karnataka,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class,07-03-2023,18:29:00,12-03-2023,18:29:00,5,Delayed,13.34,77.1,14714.81455,0.8,11771.8516,3,8
3,4,Advance shipping,0,Poway,USA,92064,32.95650864,-117.0242767,Pacific Asia,Mangalore,India,South Asia,Karnataka,ON_HOLD,LIJA Women's Eyelet Sleeveless Golf Polo,65,Standard Class,07-02-2023,4:20:00,10-02-2023,4:20:00,3,On time,12.8681,74.8425,14766.1099,1,14766.1099,4,7
5,2,Late delivery,1,Caguas,Puerto Rico,725,18.26609421,-66.37058258,Pacific Asia,Mangalore,India,South Asia,Karnataka,PENDING_PAYMENT,LIJA Women's Eyelet Sleeveless Golf Polo,65,Second Class,01-12-2022,7:56:00,06-12-2022,7:56:00,5,Delayed,12.8681,74.8425,14530.75858,0.8,11624.6069,3,8
0,0,Shipping on time,0,College Station,USA,77840,30.62625504,-96.34488678,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,LIJA Women's Eyelet Sleeveless Golf Polo,65,Same Day,21-11-2022,2:41:00,21-11-2022,14:41:00,0,On time,12.9789,77.5917,15123.23428,0,0,1,1
2,1,Late delivery,1,Caguas,Puerto Rico,725,18.22153854,-66.37052918,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Top Flite Women's 2014 XL Hybrid,19.98999977,First Class,07-01-2023,20:19:00,09-01-2023,20:19:00,2,On time,13.0825,80.275,14965.71574,0.5,7482.8579,2,4
6,4,Late delivery,1,Canyon Country,USA,91351,34.43691254,-118.4601517,Pacific Asia,Kochi,India,South Asia,Kerala,COMPLETE,Top Flite Women's 2014 XL Hybrid,19.98999977,Standard Class,07-01-2023,10:09:00,13-01-2023,10:09:00,6,Delayed,9.9312,76.2673,14842.91685,1,14842.9168,4,10
5,4,Late delivery,1,Caguas,Puerto Rico,725,18.21014404,-66.03705597,Pacific Asia,Mangalore,India,South Asia,Karnataka,CLOSED,Toys ,11.53999996,Standard Class,17-01-2025,9:18:00,22-01-2025,9:18:00,5,Delayed,12.8681,74.8425,14506.01493,1,14506.0149,4,9
3,4,Advance shipping,0,Rio Rancho,USA,87124,35.24817276,-106.6763763,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PROCESSING,Toys ,11.53999996,Standard Class,16-01-2025,18:35:00,19-01-2025,18:35:00,3,On time,13.0825,80.275,14591.26264,1,14591.2626,4,7
5,2,Late delivery,1,Caguas,Puerto Rico,725,18.22788811,-66.03705597,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,COMPLETE,Toys ,11.53999996,Second Class,15-01-2025,13:30:00,20-01-2025,13:30:00,5,Delayed,13.0825,80.275,14938.70393,0.8,11950.9631,3,8
4,2,Late delivery,1,Knoxville,USA,37922,35.81311417,-84.17388916,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,CLOSED,Toys ,11.53999996,Second Class,15-01-2025,13:09:00,19-01-2025,13:09:00,4,Delayed,13.0825,80.275,14337.55936,0.8,11470.0475,3,7
2,1,Late delivery,1,Bronx,USA,10467,40.87185669,-73.86618805,Pacific Asia,Gulbarga,India,South Asia,Karnataka,PROCESSING,Toys ,11.53999996,First Class,07-12-2024,15:08:00,09-12-2024,15:08:00,2,On time,17.329,76.825,12871.49465,0.5,6435.7473,2,4
6,4,Late delivery,1,Caguas,Puerto Rico,725,18.26878548,-66.0370636,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,PROCESSING,Toys ,11.53999996,Standard Class,06-12-2024,17:25:00,12-12-2024,17:25:00,6,Delayed,13.0825,80.275,14935.72429,1,14935.7243,4,10
3,4,Advance shipping,0,Caguas,Puerto Rico,725,18.27534103,-66.03705597,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Toys ,11.53999996,Standard Class,05-12-2024,14:05:00,08-12-2024,14:05:00,3,On time,11.1085,77.3411,14836.24628,1,14836.2463,4,7
2,4,Advance shipping,0,Holland,USA,49423,42.83187103,-86.07852173,Pacific Asia,Tiruppur,India,South Asia,Tamil Nadu,CLOSED,Toys ,11.53999996,Standard Class,05-12-2024,13:44:00,07-12-2024,13:44:00,2,On time,11.1085,77.3411,13784.42753,1,13784.4275,4,6
6,4,Late delivery,1,Rio Grande,Puerto Rico,745,42.25645828,-83.41688538,Pacific Asia,Bellary,India,South Asia,Karnataka,PENDING_PAYMENT,Toys ,11.53999996,Standard Class,05-12-2024,13:23:00,11-12-2024,13:23:00,6,Delayed,15.1,76.9167,13326.68621,1,13326.6862,4,10
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.22240639,-66.37059784,Pacific Asia,Avadi,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,21-12-2022,13:52:00,23-12-2022,13:52:00,2,On time,13.1147,80.1098,14950.0929,1,14950.0929,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.23605919,-66.37056732,Pacific Asia,Avadi,India,South Asia,Tamil Nadu,COMPLETE,adidas Youth Germany Black/Red Away Match Soc,70,Standard Class,09-03-2023,7:58:00,11-03-2023,7:58:00,2,On time,13.1147,80.1098,14949.09209,1,14949.0921,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.23605919,-66.37056732,Pacific Asia,Avadi,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,09-03-2023,7:58:00,11-03-2023,7:58:00,2,On time,13.1147,80.1098,14949.09209,1,14949.0921,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.22240639,-66.37059784,Pacific Asia,Avadi,India,South Asia,Tamil Nadu,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class,21-12-2022,13:52:00,23-12-2022,13:52:00,2,On time,13.1147,80.1098,14950.0929,1,14950.0929,4,6
2,4,Advance shipping,0,Caguas,Puerto Rico,725,18.35910034,-66.07790375,Pacific Asia,Bangalore,India,South Asia,Karnataka,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class,17-12-2022,13:31:00,19-12-2022,13:31:00,2,On time,12.9789,77.5917,14722.49356,1,14722.4936,4,6
3,4,Advance shipping,0,Caguas,Puerto Rico,725,18.26872444,-66.37051392,Pacific Asia,Chennai,India,South Asia,Tamil Nadu,ON_HOLD,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class,24-02-2023,11:30:00,27-02-2023,11:30:00,3,On time,13.0825,80.275,14962.25489,1,14962.2549,4,7
